IPValue,Lower,Upper,Path,HighSegment
16778240,16778240,16779263,56203,24
16793600,16793600,16809983,18144,18
16809984,16809984,16842751,9737,19
16809984,16809984,16810495,23969,24
16810752,16810752,16813055,23969,24
16813568,16813568,16813823,23969,24
16814080,16814080,16828415,23969,24
16828672,16828672,16830975,23969,24
16831488,16831488,16832255,23969,24
16832512,16832512,16834559,23969,24
16838656,16838656,16842751,23969,21
16843520,16843520,16843775,3491,24
16844800,16844800,16845055,4134,24
16847872,16847872,16848127,133948,24
16859136,16859136,16867327,2519,19
16869120,16869120,16875519,2519,24
16875520,16875520,16908287,9737,19
16875520,16875520,16878847,23969,24
16879104,16879104,16879359,23969,24
16879616,16879616,16889343,23969,24
16889600,16889600,16890879,23969,24
16891136,16891136,16906751,23969,24
16907008,16907008,16908287,23969,24
16909312,16909312,16909567,24151_24409_24406,24
16911104,16911104,16911359,18046,24
16941056,16941056,16973823,9737,19
16941056,16941056,16949247,23969,20
16949760,16949760,16952831,23969,24
16953344,16953344,16954367,23969,24
16954624,16954624,16955903,23969,24
16956160,16956160,16972799,23969,24
16973312,16973312,16973823,23969,23
16974592,16974592,16974847,27176,24
16982272,16982272,16982783,133741_133948,24
16982784,16982784,16983039,133741,24
16983040,16983040,16983807,133741_133948,24
16985344,16985344,16985599,133741_133948,24
16987648,16987648,16987903,133741,24
16987904,16987904,16988671,133948,24
16988928,16988928,16989183,133741_133948,24
16989184,16989184,16989439,133948_133741,24
17061888,17061888,17062143,63849,24
17072128,17072128,17104895,9737,19
17072128,17072128,17076223,23969,23
17078272,17078272,17088511,23969,24
17089792,17089792,17090047,23969,24
17090560,17090560,17104895,23969,24
17104896,17104896,17170431,4725,16
17306112,17306112,17306367,38345,24
17327360,17327360,17329919,38345,24
17339904,17339904,17340927,38345,24
17362432,17362432,17363967,38345,24
17367040,17367040,17432575,4788,16
17370112,17370112,17370367,4788_65037,24
17372928,17372928,17373183,4788_65120,24
17374976,17374976,17375231,4788_65077,24
17375744,17375744,17375999,4788,24
17376512,17376512,17376767,4788,24
17377280,17377280,17377791,4788,24
17387264,17387264,17387519,4788,24
17449472,17449472,17449983,133741,24
17450240,17450240,17450495,133741_133948,24
17450496,17450496,17451007,133741,24
17451008,17451008,17451775,133741_133948,24
17452032,17452032,17453055,133741_133948,24
17453312,17453312,17453567,133741_133948,24
17453824,17453824,17454591,133741_133948,24
17456640,17456640,17456895,133948_133741,24
17465344,17465344,17498111,9737,19
17465344,17465344,17488639,23969,24
17466368,17466368,17466623,23969,24
17466880,17466880,17467391,23969,24
17467904,17467904,17469695,23969,24
17469952,17469952,17470975,23969,24
17471232,17471232,17476863,23969,24
17477120,17477120,17481727,23969,24
17488896,17488896,17495551,23969,24
17495808,17495808,17496319,23969,24
17496576,17496576,17498111,23969,24
17498112,17498112,17514495,18313,21
17514496,17514496,17522687,38091,21
17519104,17519104,17519359,38091,24
17521664,17521664,17522431,45996,24
17522688,17522688,17530879,38669,22
17530880,17530880,17563647,17839,17
17556992,17556992,17557503,17839,24
17563648,17563648,17825791,18245,14
17629184,17629184,17825791,4847,16
17825792,17825792,17842175,45996,18
17986816,17986816,17987071,9700,24
17987328,17987328,17987583,23600,24
17988096,17988096,17988607,23599,24
17988864,17988864,17989375,23599,24
17989376,17989376,17989887,23596,24
17990144,17990144,17990399,23596,24
17991168,17991168,17991679,23600,24
18087936,18087936,18104319,56120,18
18104320,18104320,18108927,23969,24
